Year,Season,IndiaAreaWeighted_tmin_C,ValidDays
1972,Winter,65.48084326787703,60
1972,PreMonsoon,69.14253931529828,92
1972,Monsoon,70.36457336060244,122
1972,PostMonsoon,67.26691035083704,92
1973,Winter,66.08600269681865,59
1973,PreMonsoon,69.43613815593169,92
1973,Monsoon,70.47926775137645,122
1973,PostMonsoon,67.11524638263239,92
1974,Winter,65.47047639483885,59
1974,PreMonsoon,69.34325942208861,92
1974,Monsoon,70.3290470979859,122
1974,PostMonsoon,66.97949515137489,92
1975,Winter,65.64097156439243,59
1975,PreMonsoon,69.21868275128645,92
1975,Monsoon,70.28751132000623,122
1975,PostMonsoon,66.89719901933637,92
1976,Winter,65.86695215417306,60
1976,PreMonsoon,69.1285885170044,92
1976,Monsoon,70.29104047340113,122
1976,PostMonsoon,67.51289304511276,92
1977,Winter,65.86429239370439,59
1977,PreMonsoon,69.25560938972053,92
1977,Monsoon,70.3417852821574,122
1977,PostMonsoon,67.58171217303138,92
1978,Winter,65.73771626483955,59
1978,PreMonsoon,69.19168010309485,92
1978,Monsoon,70.35799386868607,122
1978,PostMonsoon,67.3973142719514,92
1979,Winter,66.11712496215529,59
1979,PreMonsoon,69.07535937375933,92
1979,Monsoon,70.47632768988386,122
1979,PostMonsoon,67.79994040786904,92
1980,Winter,66.05168196665998,60
1980,PreMonsoon,69.48283477195196,92
1980,Monsoon,70.41313050928969,122
1980,PostMonsoon,67.41408681412798,92
1981,Winter,66.21765459533894,59
1981,PreMonsoon,69.27063546632571,92
1981,Monsoon,70.43324376214143,122
1981,PostMonsoon,67.08448500299761,92
1982,Winter,66.11773363951903,59
1982,PreMonsoon,68.946943988059,92
1982,Monsoon,70.38654275172735,122
1982,PostMonsoon,67.44583423610769,92
1983,Winter,65.71275138864098,59
1983,PreMonsoon,68.94939465972926,92
1983,Monsoon,70.45841201946705,122
1983,PostMonsoon,67.00420675114877,92
1984,Winter,65.96739364600806,60
1984,PreMonsoon,69.64689238264711,92
1984,Monsoon,70.49708709785853,122
1984,PostMonsoon,67.1511922045853,92
1985,Winter,66.2996757529962,59
1985,PreMonsoon,69.72539908546932,92
1985,Monsoon,70.65586735799863,122
1985,PostMonsoon,67.5979678062462,92
1986,Winter,66.07637908239836,59
1986,PreMonsoon,69.27480160013184,92
1986,Monsoon,70.46017384558934,122
1986,PostMonsoon,67.43873537221175,92
1987,Winter,66.40899012246857,59
1987,PreMonsoon,69.270885544372,92
1987,Monsoon,70.70207271797867,122
