Date,IndiaAreaWeighted_tmin_C,Year,Month
1959-10-02,71.73135363938569,1959,10
1959-10-03,71.78308447296878,1959,10
1959-10-04,71.68719751005634,1959,10
1959-10-05,71.68213880887842,1959,10
1959-10-06,71.62595424076926,1959,10
1959-10-07,71.6084750938588,1959,10
1959-10-08,71.75440808637524,1959,10
1959-10-09,71.73388463983645,1959,10
1959-10-10,71.61703729661598,1959,10
1959-10-11,71.49566233971622,1959,10
1959-10-12,71.48358940860888,1959,10
1959-10-13,71.49387011279643,1959,10
1959-10-14,71.43565188623545,1959,10
1959-10-15,71.39439939376463,1959,10
1959-10-16,71.40513983009205,1959,10
1959-10-17,71.34479718813743,1959,10
1959-10-18,71.30571815065147,1959,10
1959-10-19,71.29368879034271,1959,10
1959-10-20,71.17833525345851,1959,10
1959-10-21,71.35801543577728,1959,10
1959-10-22,71.17678608667029,1959,10
1959-10-23,71.1056685910251,1959,10
1959-10-24,70.80730412495964,1959,10
1959-10-25,70.6610542591343,1959,10
1959-10-26,70.52025976349185,1959,10
1959-10-27,70.55236840991051,1959,10
1959-10-28,70.58028791855682,1959,10
1959-10-29,70.58396420408474,1959,10
1959-10-30,70.21836870201676,1959,10
1959-10-31,70.1820352586067,1959,10
1959-11-01,70.28619769418043,1959,11
1959-11-02,70.32321047747502,1959,11
1959-11-03,70.33759099681379,1959,11
1959-11-04,70.21784074010115,1959,11
1959-11-05,70.27728154148315,1959,11
1959-11-06,70.29477657117421,1959,11
1959-11-07,70.08581705909572,1959,11
1959-11-08,70.10343555801734,1959,11
1959-11-09,70.0619029793045,1959,11
1959-11-10,69.79441857856565,1959,11
1959-11-11,69.63582973146102,1959,11
1959-11-12,69.543895930977,1959,11
1959-11-13,69.52309333671205,1959,11
1959-11-14,69.34774731256688,1959,11
1959-11-15,69.28339544054995,1959,11
1959-11-16,69.2208854657884,1959,11
1959-11-17,69.09997460415076,1959,11
1959-11-18,69.05086166594863,1959,11
1959-11-19,68.9821989681858,1959,11
1959-11-20,68.90940386192723,1959,11
1959-11-21,68.68197577465214,1959,11
1959-11-22,68.60162280396113,1959,11
1959-11-23,68.47702770913143,1959,11
1959-11-24,68.52498180563325,1959,11
1959-11-25,68.71794834751958,1959,11
1959-11-26,68.74073212184459,1959,11
1959-11-27,68.6285745438797,1959,11
1959-11-28,68.74399900779683,1959,11
1959-11-29,68.98648766458102,1959,11
1959-11-30,68.9721755444849,1959,11
1959-12-01,68.92754121220636,1959,12
1959-12-02,68.74721924466184,1959,12
1959-12-03,68.83075141264061,1959,12
1959-12-04,68.70715719204442,1959,12
1959-12-05,68.97015423266073,1959,12
1959-12-06,68.83910682123054,1959,12
1959-12-07,68.81401693915933,1959,12
1959-12-08,68.6617755040339,1959,12
1959-12-09,68.60777926405972,1959,12
1959-12-10,68.61312487453033,1959,12
1959-12-11,68.62460882893147,1959,12
1959-12-12,68.83881008998972,1959,12
1959-12-13,68.932236510398,1959,12
1959-12-14,68.78338373025602,1959,12
1959-12-15,68.89569771646536,1959,12
1959-12-16,69.0157491022784,1959,12
1959-12-17,68.33712371763285,1959,12
1959-12-18,68.31885587768137,1959,12
1959-12-19,68.13959467241887,1959,12
1959-12-20,68.13072074074756,1959,12
1959-12-21,68.00680324295372,1959,12
1959-12-22,67.82485991393735,1959,12
1959-12-23,67.44482995701965,1959,12
1959-12-24,67.30559691252475,1959,12
1959-12-25,67.17152727740145,1959,12
1959-12-26,67.57712837360985,1959,12
1959-12-27,67.5220686417464,1959,12
1959-12-28,67.63709191139768,1959,12
1959-12-29,67.79822590706124,1959,12
1959-12-30,67.67728441308626,1959,12
1959-12-31,68.10357014999252,1959,12
1960-01-01,68.46930149260898,1960,1
1960-01-02,68.6787819035497,1960,1
1960-01-03,68.83912492763623,1960,1
1960-01-04,68.81366442675969,1960,1
1960-01-05,68.453472367598,1960,1
1960-01-06,68.43945682440688,1960,1
1960-01-07,68.43598868913726,1960,1
1960-01-08,68.45056653691807,1960,1
1960-01-09,68.21574455749514,1960,1
1960-01-10,68.07416137879355,1960,1
1960-01-11,68.08838669893065,1960,1
1960-01-12,68.15863337338195,1960,1
1960-01-13,68.30851332053071,1960,1
1960-01-14,68.18806536108585,1960,1
1960-01-15,68.22838179183942,1960,1
1960-01-16,68.21076116136932,1960,1
1960-01-17,68.02698615451973,1960,1
1960-01-18,67.64860174199676,1960,1
1960-01-19,67.54501426614107,1960,1
1960-01-20,67.77524818307086,1960,1
1960-01-21,67.97626418730603,1960,1
1960-01-22,67.69543105288292,1960,1
1960-01-23,67.67062908785658,1960,1
1960-01-24,67.45625760362748,1960,1
1960-01-25,67.49818430265174,1960,1
1960-01-26,67.62644935705966,1960,1
1960-01-27,67.60174183416045,1960,1
1960-01-28,67.633189836918,1960,1
1960-01-29,67.95758284595782,1960,1
1960-01-30,68.27516602980924,1960,1
1960-01-31,68.4842460916304,1960,1
