Date,IndiaAreaWeighted_tmax_C,Year,Month
1958-12-06,73.66078663761273,1958,12
1958-12-07,73.64590569841425,1958,12
1958-12-08,73.73754377972625,1958,12
1958-12-09,73.79104528068152,1958,12
1958-12-10,73.76326480876946,1958,12
1958-12-11,73.52920761859687,1958,12
1958-12-12,73.53210906509247,1958,12
1958-12-13,73.63353950822084,1958,12
1958-12-14,73.65998137208491,1958,12
1958-12-15,73.53609412871131,1958,12
1958-12-16,73.45308383369527,1958,12
1958-12-17,73.36723290812931,1958,12
1958-12-18,73.37456316907583,1958,12
1958-12-19,73.4632572222077,1958,12
1958-12-20,73.5050643659079,1958,12
1958-12-21,73.428089042928,1958,12
1958-12-22,73.0888903358491,1958,12
1958-12-23,73.06896466403714,1958,12
1958-12-24,72.88431498824984,1958,12
1958-12-25,72.91804157522506,1958,12
1958-12-26,72.88177708116784,1958,12
1958-12-27,72.77935615821642,1958,12
1958-12-28,72.63828112447752,1958,12
1958-12-29,72.59103114414937,1958,12
1958-12-30,72.7640778403621,1958,12
1958-12-31,72.78237783396735,1958,12
1959-01-01,72.76072129394818,1959,1
1959-01-02,72.78241510321563,1959,1
1959-01-03,72.74590724658742,1959,1
1959-01-04,73.23778268775655,1959,1
1959-01-05,73.21342803690294,1959,1
1959-01-06,73.19117223357036,1959,1
1959-01-07,73.13044229349093,1959,1
1959-01-08,73.03808262602305,1959,1
1959-01-09,73.03058060959975,1959,1
1959-01-10,73.04826115413168,1959,1
1959-01-11,73.05915569118203,1959,1
1959-01-12,72.92957953085744,1959,1
1959-01-13,72.87674892460954,1959,1
1959-01-14,72.85768897390724,1959,1
1959-01-15,72.95537899267346,1959,1
1959-01-16,73.09040753339326,1959,1
1959-01-17,73.14321304742845,1959,1
1959-01-18,73.53071518966074,1959,1
1959-01-19,73.46936031715991,1959,1
1959-01-20,73.39453182702873,1959,1
1959-01-21,73.15603368057617,1959,1
1959-01-22,72.76244476229955,1959,1
1959-01-23,72.55718915780574,1959,1
1959-01-24,72.75759741513119,1959,1
1959-01-25,73.19703847425892,1959,1
1959-01-26,73.30019366223058,1959,1
1959-01-27,73.10446850908664,1959,1
1959-01-28,73.1889920051835,1959,1
1959-01-29,72.93377629184101,1959,1
1959-01-30,72.67951958963994,1959,1
1959-01-31,72.28934890323589,1959,1
1959-02-01,72.62235084065152,1959,2
1959-02-02,72.97976777676033,1959,2
