Year,Season,IndiaAreaWeighted_tmax_C,ValidDays
2003,PostMonsoon,72.56615148466821,92
2004,Winter,71.83503385238849,60
2004,PreMonsoon,75.41749913306751,92
2004,Monsoon,74.3718178538054,122
2004,PostMonsoon,72.87874885512674,92
2005,Winter,71.69402865698012,59
2005,PreMonsoon,75.04901482392091,92
2005,Monsoon,74.4960721102714,122
2005,PostMonsoon,72.83706067409628,92
2006,Winter,72.16453210692796,59
2006,PreMonsoon,74.62114095618774,92
2006,Monsoon,73.87535431901934,122
2006,PostMonsoon,72.52776181177849,92
2007,Winter,71.82605992194173,59
2007,PreMonsoon,75.00088181605342,92
2007,Monsoon,74.13606468231885,122
2007,PostMonsoon,72.85351060760784,92
2008,Winter,71.44693628397513,60
2008,PreMonsoon,75.03162045384752,92
2008,Monsoon,74.05043614219083,122
2008,PostMonsoon,73.34815066453622,92
2009,Winter,72.59295129564343,59
2009,PreMonsoon,75.58553137164073,92
2009,Monsoon,75.04598130414203,122
2009,PostMonsoon,73.29280785512364,92
2010,Winter,72.1288392271352,59
2010,PreMonsoon,75.905770673767,92
2010,Monsoon,74.60550236311836,122
2010,PostMonsoon,72.93417321156942,92
2011,Winter,72.0148392660584,59
2011,PreMonsoon,75.14435077049477,92
2011,Monsoon,74.23930642870049,122
2011,PostMonsoon,73.10030732529297,92
2012,Winter,71.67862237584403,60
2012,PreMonsoon,75.2410910313355,92
2012,Monsoon,74.45787340367983,122
2012,PostMonsoon,72.8552157890575,92
2013,Winter,71.81660120112366,59
2013,PreMonsoon,75.27333210153952,92
2013,Monsoon,74.15182171488304,122
2013,PostMonsoon,72.95497038876476,92
2014,Winter,71.47201528931605,59
2014,PreMonsoon,74.94110367685894,92
2014,Monsoon,74.59556434191718,122
2014,PostMonsoon,72.87534100462659,92
2015,Winter,71.8463641016671,59
2015,PreMonsoon,74.90854523158514,92
2015,Monsoon,74.5086207298791,122
2015,PostMonsoon,73.17858480715738,92
2016,Winter,72.35037483589166,60
2016,PreMonsoon,75.45015305740169,92
2016,Monsoon,74.35263567449914,122
2016,PostMonsoon,73.19633290350038,92
2017,Winter,72.15881896796522,59
2017,PreMonsoon,75.31040325267783,92
2017,Monsoon,74.37041491526912,122
2017,PostMonsoon,73.04776977735557,92
2018,Winter,72.16547691799738,59
2018,PreMonsoon,75.36589462771566,92
2018,Monsoon,74.44720372233007,122
2018,PostMonsoon,73.18834462343472,92
2019,Winter,71.75845778540148,59
2019,PreMonsoon,75.20080051021567,92
2019,Monsoon,74.49499542423325,122
2019,PostMonsoon,72.58426386549287,92
2020,Winter,71.54352047154295,60
2020,PreMonsoon,74.8780340273524,92
2020,Monsoon,74.35058010082018,122
2020,PostMonsoon,72.89114950836098,92
2021,Winter,72.08533690935249,59
2021,PreMonsoon,75.05519255934544,92
2021,Monsoon,74.27918810051979,122
2021,PostMonsoon,72.73186676319304,92
2022,Winter,71.46040542521165,59
2022,PreMonsoon,75.46368507921463,92
2022,Monsoon,74.34609870415707,122
2022,PostMonsoon,72.87342377745537,92
2023,Winter,72.09989440207167,59
2023,PreMonsoon,74.69201670815787,92
2023,Monsoon,74.46494734173763,122
2023,PostMonsoon,72.99494938189333,92
2024,Winter,71.72697080442286,60
2024,PreMonsoon,75.22280178894687,92
2024,Monsoon,74.42030246253819,122
2024,PostMonsoon,72.95644023098782,92
